Trial,no policy obj,solver obj,lagr heuristic obj,simple index blocksize 1 obj,simple index blocksize 7 obj,quadratic heuristic obj,lagr LB,solver LB,solver vs lagr lb gap,lagr vs lagr lb gap
1,1003570,1003408,1003570,1037173,1015196,1110367,961654,444081,0.043419,0.043588058026893056
2,1003570,999901,1003570,1105527,1015169,1102909,945001,351140,0.058095,0.061977958342167724
3,1003570,991941,1014902,1107608,1015141,1090845,983990,279286,0.008079,0.03141469492985786
4,1003570,980161,983218,1101752,1018725,1072228,968056,224625,0.012504,0.01566211105416937
5,1003570,965127,973238,1098135,1016878,1045926,911848,268957,0.058429,0.06732425370621165
6,1003570,946181,950248,1055382,1015010,1011130,924127,216591,0.023865,0.028266561260730207
7,1003570,922615,933689,1066852,1013141,968276,904137,223650,0.020438,0.032686223784228356
8,1003570,890871,897466,1022575,1011291,915973,881851,183291,0.010230,0.017707785624175562
9,1003570,843094,852618,1030038,1009478,850878,801300,197698,0.052158,0.06404381969691067
10,1003570,761036,766913,1070425,1007723,767153,735296,173682,0.035007,0.04299865635421365
11,1003570,649849,654125,1087891,1006042,654365,633927,138789,0.025116,0.0318613031362382
12,1003570,901317,930244,1010834,1001350,922533,890789,188454,0.011819,0.04429260200477571
13,1003570,911541,948232,1050540,1004082,940252,907164,194336,0.004825,0.04527074081198735
14,1003570,921155,946571,1023643,1006814,957971,915804,200036,0.005843,0.03359588909660677
15,1003570,930129,954897,1069797,1009546,975691,921255,205640,0.009633,0.03651689406869803
16,1003570,938381,956741,1052218,1012278,993410,926190,211217,0.013162,0.03298585982211742
17,1003570,953493,955877,1108700,1017743,1028850,942268,221925,0.011913,0.01444302397821496
18,1003570,960221,962801,1122946,1020475,1046571,951237,225047,0.009445,0.012156820035247647
19,1003570,966376,1021851,1114037,1018587,1064291,945983,230199,0.021558,0.08020049490671531
20,1003570,972198,979469,1102247,1019763,1082012,926299,235175,0.049551,0.057400603650389716
21,1003570,977641,982747,1141747,1020939,1099733,948020,239960,0.031245,0.036630704083216586
22,1003571,1003408,1003571,1061186,1027196,1127720,961662,444083,0.043410,0.04357906194092327
23,1003571,999904,1003571,1228629,1027169,1155374,945021,351143,0.058076,0.0619558356887913
24,1003571,991956,1003571,1230709,1027142,1145630,964979,279288,0.027956,0.03999280333940598
25,1003571,980221,1003571,1224854,1030726,1133770,960364,224626,0.020677,0.04499037614984303
26,1003571,965398,968947,1221237,1028880,1118546,947193,268971,0.019220,0.022966208459332556
27,1003571,947444,953342,1075636,1027013,1100887,934880,216595,0.013439,0.019747674178284297
28,1003571,927554,939339,1034417,1025144,1083693,888625,223583,0.043808,0.05707054252739378
29,1003571,908069,912756,1036022,1023294,1058986,899800,183142,0.009189,0.014398862240142953
30,1003571,891356,905198,1042040,1021482,1025793,872404,197119,0.021723,0.037589666268258694
31,1003571,876645,895689,1067327,1019727,976110,842901,186372,0.040033,0.06262637741231908
32,1003571,846988,896310,1213796,1018047,908013,834801,170979,0.014599,0.0736811940185315
33,1003571,903818,911961,1034292,1007353,960433,889297,188448,0.016330,0.025485905654585105
34,1003571,913842,919717,1124403,1011284,954720,905286,194325,0.009451,0.01594047983826127
35,1003571,923218,937126,1032044,1015216,1024216,886740,200034,0.041137,0.056821571380549926
36,1003571,931812,943920,1037312,1019148,1049067,898121,205630,0.037512,0.05099389055528381
37,1003571,939831,948139,1105014,1023080,1074879,924700,211194,0.016363,0.02534727851363599
38,1003571,954476,960878,1053120,1030945,1126646,937773,221925,0.017811,0.0246384833006099
39,1003571,960956,969301,1270667,1034877,1150722,940653,227191,0.021584,0.030454802045992053
40,1003571,966937,976852,1141517,1034188,1176112,943533,230205,0.024804,0.03531280075228617
41,1003571,972680,1003571,1184833,1036564,1202540,944757,235183,0.029556,0.06225311905898374
42,1003571,977981,1003571,1206736,1038940,1226912,944757,239970,0.035167,0.062253119058902975
43,1003571,1003408,1003571,1341440,1039196,1189874,961662,444042,0.043410,0.04357906194101398
44,1003571,999904,1003571,1351729,1039169,1206374,945021,351106,0.058076,0.061955841685984406
45,1003571,991956,1003571,1353809,1039142,1128547,954816,279257,0.038897,0.051062124604234496
46,1003571,980221,1003571,1347954,1042726,1184770,949752,224601,0.032082,0.056666455670946886
47,1003571,965399,1003571,1344337,1040880,1169546,928549,266958,0.039686,0.08079469616874527
48,1003571,947445,955634,1251489,1039013,1152133,916247,216548,0.034050,0.04298739449989158
49,1003571,927571,933491,1046417,1037144,1141654,903742,223534,0.026367,0.03291669432783327
50,1003571,908329,914037,1048022,1035294,1121826,890336,183102,0.020209,0.026620246718585705
51,1003571,892906,926871,1054040,1033482,1105064,884161,197041,0.009890,0.04830478291986209
52,1003571,881485,922966,1088577,1031727,1085665,871484,184622,0.011477,0.05907387210910383
53,1003571,872342,876923,1336896,1030047,1051158,858490,180112,0.016135,0.021471027911978684
54,1003571,903823,917708,1048614,1013353,997580,883151,188402,0.023407,0.039128767128661535
55,1003571,913845,939111,1198263,1018484,1028730,886446,194280,0.030909,0.05941221174600148
56,1003571,923220,939779,1040444,1023616,1059832,912176,199987,0.012108,0.030261473036928152
57,1003571,931811,935130,1046912,1028748,1090584,913021,204117,0.020580,0.024215533434962872
58,1003571,939832,945382,1081630,1033880,1121588,916247,209486,0.025741,0.03179838114062867
59,1003571,954476,965553,1381315,1044145,1182746,916247,219830,0.041724,0.053813837794407536
60,1003571,960955,975663,1418587,1049277,1212858,916247,227144,0.048796,0.064847529201871
61,1003571,966938,983675,1157117,1049788,1243816,916247,230160,0.055325,0.07359185128876174
62,1003571,972680,990506,1325817,1053364,1273940,964737,235135,0.008234,0.026711528393877512
63,1003571,977981,998387,1260468,1056940,1211277,972599,239922,0.005534,0.026515189335844205
