Trial,no policy cost,no policy deaths,solver cost,solver deaths,solver disease cost,solver policy cost,lagr cost,lagr deaths,lagr disease cost,lagr policy cost
1,1.00e12,9.94e04,1.00e12,9.93e04,1.00e12,9.00e08,1.00e12,9.94e04,1.00e12,0.00e00
2,1.00e12,9.94e04,1.00e12,9.64e04,9.73e11,2.66e10,1.00e12,9.94e04,1.00e12,0.00e00
3,1.00e12,9.94e04,9.92e11,9.46e04,9.55e11,3.71e10,1.01e12,9.91e04,1.00e12,1.47e10
4,1.00e12,9.94e04,9.80e11,9.23e04,9.32e11,4.80e10,9.83e11,9.35e04,9.44e11,3.90e10
5,1.00e12,9.94e04,9.65e11,8.96e04,9.04e11,6.10e10,9.73e11,9.27e04,9.36e11,3.70e10
6,1.00e12,9.94e04,9.46e11,8.61e04,8.69e11,7.72e10,9.50e11,8.85e04,8.94e11,5.64e10
7,1.00e12,9.94e04,9.23e11,8.21e04,8.28e11,9.42e10,9.34e11,8.54e04,8.62e11,7.20e10
8,1.00e12,9.94e04,8.91e11,7.65e04,7.72e11,1.19e11,8.97e11,7.96e04,8.04e11,9.34e10
9,1.00e12,9.94e04,8.43e11,6.74e04,6.80e11,1.63e11,8.53e11,6.67e04,6.73e11,1.80e11
10,1.00e12,9.94e04,7.61e11,5.85e04,5.90e11,1.71e11,7.67e11,5.82e04,5.87e11,1.80e11
11,1.00e12,9.94e04,6.50e11,4.72e04,4.76e11,1.73e11,6.54e11,4.70e04,4.75e11,1.80e11
12,1.00e12,9.94e04,9.01e11,8.40e04,8.48e11,5.35e10,9.30e11,8.40e04,8.48e11,8.20e10
13,1.00e12,9.94e04,9.12e11,8.45e04,8.53e11,5.85e10,9.48e11,8.42e04,8.50e11,9.82e10
14,1.00e12,9.94e04,9.21e11,8.47e04,8.55e11,6.58e10,9.47e11,9.00e04,9.08e11,3.83e10
15,1.00e12,9.94e04,9.30e11,8.53e04,8.61e11,6.92e10,9.55e11,9.05e04,9.13e11,4.17e10
16,1.00e12,9.94e04,9.38e11,8.59e04,8.67e11,7.09e10,9.57e11,9.12e04,9.21e11,3.62e10
17,1.00e12,9.94e04,9.53e11,8.68e04,8.77e11,7.69e10,9.56e11,8.86e04,8.94e11,6.19e10
18,1.00e12,9.94e04,9.60e11,8.76e04,8.84e11,7.61e10,9.63e11,8.91e04,8.99e11,6.35e10
19,1.00e12,9.94e04,9.66e11,8.81e04,8.90e11,7.66e10,1.02e12,8.49e04,8.57e11,1.65e11
20,1.00e12,9.94e04,9.72e11,8.85e04,8.93e11,7.89e10,9.79e11,9.25e04,9.34e11,4.59e10
21,1.00e12,9.94e04,9.78e11,8.92e04,9.01e11,7.69e10,9.83e11,9.25e04,9.34e11,4.91e10
22,1.00e12,9.94e04,1.00e12,9.93e04,1.00e12,9.00e08,1.00e12,9.94e04,1.00e12,0.00e00
23,1.00e12,9.94e04,1.00e12,9.64e04,9.73e11,2.66e10,1.00e12,9.94e04,1.00e12,0.00e00
24,1.00e12,9.94e04,9.92e11,9.46e04,9.55e11,3.71e10,1.00e12,9.94e04,1.00e12,0.00e00
25,1.00e12,9.94e04,9.80e11,9.23e04,9.32e11,4.80e10,1.00e12,9.94e04,1.00e12,0.00e00
26,1.00e12,9.94e04,9.65e11,8.97e04,9.06e11,5.94e10,9.69e11,8.84e04,8.92e11,7.66e10
27,1.00e12,9.94e04,9.47e11,8.66e04,8.75e11,7.27e10,9.53e11,8.58e04,8.66e11,8.76e10
28,1.00e12,9.94e04,9.28e11,8.34e04,8.42e11,8.60e10,9.39e11,8.69e04,8.77e11,6.26e10
29,1.00e12,9.94e04,9.08e11,8.03e04,8.10e11,9.76e10,9.13e11,8.27e04,8.35e11,7.80e10
30,1.00e12,9.94e04,8.91e11,7.76e04,7.84e11,1.08e11,9.05e11,8.29e04,8.37e11,6.84e10
31,1.00e12,9.94e04,8.77e11,7.37e04,7.44e11,1.33e11,8.96e11,8.23e04,8.31e11,6.49e10
32,1.00e12,9.94e04,8.47e11,5.90e04,5.96e11,2.51e11,8.96e11,6.04e04,6.10e11,2.86e11
33,1.00e12,9.94e04,9.04e11,8.44e04,8.52e11,5.18e10,9.12e11,8.63e04,8.72e11,4.03e10
34,1.00e12,9.94e04,9.14e11,8.48e04,8.56e11,5.83e10,9.20e11,8.64e04,8.72e11,4.76e10
35,1.00e12,9.94e04,9.23e11,8.52e04,8.60e11,6.31e10,9.37e11,8.81e04,8.89e11,4.82e10
36,1.00e12,9.94e04,9.32e11,8.57e04,8.66e11,6.63e10,9.44e11,8.81e04,8.89e11,5.50e10
37,1.00e12,9.94e04,9.40e11,8.61e04,8.69e11,7.09e10,9.48e11,8.81e04,8.89e11,5.92e10
38,1.00e12,9.94e04,9.54e11,8.71e04,8.80e11,7.47e10,9.61e11,8.60e04,8.68e11,9.26e10
39,1.00e12,9.94e04,9.61e11,8.78e04,8.86e11,7.46e10,9.69e11,8.60e04,8.68e11,1.01e11
40,1.00e12,9.94e04,9.67e11,8.82e04,8.90e11,7.66e10,9.77e11,8.60e04,8.68e11,1.08e11
41,1.00e12,9.94e04,9.73e11,8.88e04,8.97e11,7.61e10,1.00e12,9.94e04,1.00e12,0.00e00
42,1.00e12,9.94e04,9.78e11,8.94e04,9.03e11,7.50e10,1.00e12,9.94e04,1.00e12,0.00e00
43,1.00e12,9.94e04,1.00e12,9.93e04,1.00e12,9.00e08,1.00e12,9.94e04,1.00e12,0.00e00
44,1.00e12,9.94e04,1.00e12,9.64e04,9.73e11,2.66e10,1.00e12,9.94e04,1.00e12,0.00e00
45,1.00e12,9.94e04,9.92e11,9.46e04,9.55e11,3.71e10,1.00e12,9.94e04,1.00e12,0.00e00
46,1.00e12,9.94e04,9.80e11,9.23e04,9.32e11,4.80e10,1.00e12,9.94e04,1.00e12,0.00e00
47,1.00e12,9.94e04,9.65e11,8.97e04,9.06e11,5.94e10,1.00e12,9.94e04,1.00e12,0.00e00
48,1.00e12,9.94e04,9.47e11,8.66e04,8.75e11,7.27e10,9.56e11,8.45e04,8.53e11,1.03e11
49,1.00e12,9.94e04,9.28e11,8.34e04,8.42e11,8.56e10,9.33e11,8.16e04,8.24e11,1.09e11
50,1.00e12,9.94e04,9.08e11,8.06e04,8.14e11,9.44e10,9.14e11,7.90e04,7.97e11,1.17e11
51,1.00e12,9.94e04,8.93e11,7.89e04,7.97e11,9.61e10,9.27e11,8.34e04,8.42e11,8.47e10
52,1.00e12,9.94e04,8.81e11,7.80e04,7.88e11,9.38e10,9.23e11,7.82e04,7.89e11,1.33e11
53,1.00e12,9.94e04,8.72e11,7.73e04,7.80e11,9.19e10,8.77e11,7.84e04,7.91e11,8.55e10
54,1.00e12,9.94e04,9.04e11,8.44e04,8.52e11,5.18e10,9.18e11,8.69e04,8.77e11,4.07e10
55,1.00e12,9.94e04,9.14e11,8.48e04,8.56e11,5.83e10,9.39e11,8.74e04,8.82e11,5.67e10
56,1.00e12,9.94e04,9.23e11,8.52e04,8.60e11,6.31e10,9.40e11,8.47e04,8.55e11,8.46e10
57,1.00e12,9.94e04,9.32e11,8.57e04,8.66e11,6.63e10,9.35e11,8.45e04,8.53e11,8.20e10
58,1.00e12,9.94e04,9.40e11,8.61e04,8.69e11,7.09e10,9.45e11,8.45e04,8.53e11,9.23e10
59,1.00e12,9.94e04,9.54e11,8.71e04,8.80e11,7.47e10,9.66e11,8.45e04,8.53e11,1.12e11
60,1.00e12,9.94e04,9.61e11,8.79e04,8.87e11,7.41e10,9.76e11,8.45e04,8.54e11,1.22e11
61,1.00e12,9.94e04,9.67e11,8.82e04,8.90e11,7.66e10,9.84e11,8.47e04,8.55e11,1.29e11
62,1.00e12,9.94e04,9.73e11,8.88e04,8.97e11,7.61e10,9.91e11,8.72e04,8.80e11,1.10e11
63,1.00e12,9.94e04,9.78e11,8.94e04,9.03e11,7.50e10,9.98e11,8.72e04,8.80e11,1.18e11
